customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
1481-UOVDQ,2019-12-06,Organic,2020-01-05,Standard,Monthly,,,13.99,296,72,0,isha,India,Telangana,Female,1977-08-02,,,,
1482-CPBGA,2024-10-06,Paid,2024-11-05,Basic,Monthly,,,9.99,260,76,0,kabir,India,Telangana,Female,1973-06-06,2025-10-13,N,73.0,1.0
1483-YMGCI,2021-02-05,Organic,2022-01-31,Premium,Annual,,,22.99,1076,37,0,aadhya,India,Karnataka,Male,1971-08-11,,,,
1484-RCLNG,2023-09-27,Paid,2023-10-27,Basic,Monthly,2024-05-22,Too expensive,9.99,402,99,1,arjun,India,Meghalaya,Male,1967-05-21,2024-06-07,N,59.0,1.0
1485-BBSIH,2022-01-03,Paid,2022-02-02,Standard,Monthly,,,17.99,293,54,0,aditya,India,Gujarat,Female,2004-08-04,,,,
1486-TJXAD,2019-10-12,Organic,2020-10-06,Premium,Annual,,,29.99,1197,23,0,sai,India,Gujarat,Female,1998-02-26,,,,
1487-NKAFI,2024-04-19,Paid,2025-04-14,Premium,Annual,2026-06-30,Switched to competitor,20.99,1438,44,1,dev,India,Maharashtra,Male,1991-08-25,2024-07-24,Y,31.0,1.0
1488-PXLRI,2024-06-06,Paid,2024-07-06,Basic,Monthly,2026-06-23,Poor streaming quality,9.99,377,76,1,kabir,India,Nagaland,Female,1965-08-11,2026-01-18,N,72.0,1.0
1489-GXCGM,2023-05-21,Organic,2024-05-15,Basic,Annual,,,8.99,807,43,0,rohan,India,Maharashtra,Female,2004-04-19,2024-05-06,N,52.0,1.0
1490-ZOSZZ,2020-10-28,Refferal,2020-11-27,Standard,Monthly,,,17.99,346,40,0,diya,India,Rajasthan,Male,1987-05-20,,,,
1491-GJSDB,2020-09-27,Refferal,2020-10-27,Basic,Monthly,,,9.99,190,80,0,myra,India,Rajasthan,Male,1994-08-14,,,,
1492-CJHBP,2022-06-26,Organic,2022-07-26,Premium,Monthly,2023-10-30,Not enough content,22.99,646,49,1,riya,India,Uttar Pradesh,Female,1983-12-16,2023-04-30,Y,29.0,1.0
1493-RFMZN,2024-03-04,Paid,2024-04-03,Standard,Monthly,2025-11-11,Switched to competitor,13.99,371,56,1,vihaan,India,Karnataka,Male,1987-08-08,,,,
1494-SQLET,2024-02-29,Paid,2025-02-23,Basic,Annual,,,9.99,148,63,0,meera,India,Tamil Nadu,Male,1998-11-19,,,,
1495-DJSPW,2021-07-04,Refferal,2021-08-03,Standard,Monthly,,,12.99,680,51,0,anaya,India,Delhi,Male,1996-06-21,,,,
1496-AZPTW,2024-09-02,Organic,2024-10-02,Standard,Monthly,,,12.99,110,47,0,reyansh,India,Maharashtra,Female,1992-02-01,,,,
1497-FHRIT,2021-09-12,Refferal,2021-10-12,Standard,Monthly,2023-11-25,Not enough content,17.99,299,55,1,kabir,India,Nagaland,Male,1984-05-24,,,,
1498-PLVIM,2019-02-15,Organic,2019-03-17,Basic,Monthly,,,8.99,59,83,0,saanvi,Nepal,Kathmandu,Female,1983-09-14,2021-10-27,Y,39.0,2.0
1499-LWQMQ,2022-05-25,Organic,2023-05-20,Standard,Annual,,,17.99,350,59,0,aditya,India,Karnataka,Male,1994-06-04,,,,
